2020-08-28_12-19-10: DF Exception: Sub: R1108J, Sess: 3, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/john/SWR_semantic_scratch/SOLONOCOMPOUND/SWR_FR1_R1108J_3_HPC_surrounding_recallSOLONOCOMPOUND_soz_in_recalls-4.p', file: <ipython-input-15-a20670ba2516>, line no: 71
2020-08-28_12-19-10: DF Exception: Sub: R1112M, Sess: 0, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/john/SWR_semantic_scratch/SOLONOCOMPOUND/SWR_FR1_R1112M_0_HPC_surrounding_recallSOLONOCOMPOUND_soz_in_recalls-4.p', file: <ipython-input-15-a20670ba2516>, line no: 71
2020-08-28_12-19-10: DF Exception: Sub: R1112M, Sess: 2, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/john/SWR_semantic_scratch/SOLONOCOMPOUND/SWR_FR1_R1112M_2_HPC_surrounding_recallSOLONOCOMPOUND_soz_in_recalls-4.p', file: <ipython-input-15-a20670ba2516>, line no: 71
2020-08-28_12-19-10: DF Exception: Sub: R1138T, Sess: 0, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/john/SWR_semantic_scratch/SOLONOCOMPOUND/SWR_FR1_R1138T_0_HPC_surrounding_recallSOLONOCOMPOUND_soz_in_recalls-4.p', file: <ipython-input-15-a20670ba2516>, line no: 71
2020-08-28_12-19-10: DF Exception: Sub: R1147P, Sess: 1, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/john/SWR_semantic_scratch/SOLONOCOMPOUND/SWR_FR1_R1147P_1_HPC_surrounding_recallSOLONOCOMPOUND_soz_in_recalls-4.p', file: <ipython-input-15-a20670ba2516>, line no: 71
2020-08-28_12-19-10: DF Exception: Sub: R1147P, Sess: 2, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/john/SWR_semantic_scratch/SOLONOCOMPOUND/SWR_FR1_R1147P_2_HPC_surrounding_recallSOLONOCOMPOUND_soz_in_recalls-4.p', file: <ipython-input-15-a20670ba2516>, line no: 71
2020-08-28_12-19-11: DF Exception: Sub: R1191J, Sess: 1, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/john/SWR_semantic_scratch/SOLONOCOMPOUND/SWR_FR1_R1191J_1_HPC_surrounding_recallSOLONOCOMPOUND_soz_in_recalls-4.p', file: <ipython-input-15-a20670ba2516>, line no: 71
2020-08-28_12-19-11: DF Exception: Sub: R1191J, Sess: 2, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/john/SWR_semantic_scratch/SOLONOCOMPOUND/SWR_FR1_R1191J_2_HPC_surrounding_recallSOLONOCOMPOUND_soz_in_recalls-4.p', file: <ipython-input-15-a20670ba2516>, line no: 71
2020-08-28_12-19-11: DF Exception: Sub: R1288P, Sess: 0, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/john/SWR_semantic_scratch/SOLONOCOMPOUND/SWR_FR1_R1288P_0_HPC_surrounding_recallSOLONOCOMPOUND_soz_in_recalls-4.p', file: <ipython-input-15-a20670ba2516>, line no: 71
2020-08-28_12-19-12: DF Exception: Sub: R1306E, Sess: 1, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/john/SWR_semantic_scratch/SOLONOCOMPOUND/SWR_FR1_R1306E_1_HPC_surrounding_recallSOLONOCOMPOUND_soz_in_recalls-4.p', file: <ipython-input-15-a20670ba2516>, line no: 71
